p_id,X,Y,Hab,Devl,Age,BA,Stems,Dg,Hg,Vol,MainSp,MainPerc
p_1,397344.141,6787093.746,4,02,26,21,5382,13,10,101,1,85
p_2,397264.141,6787013.746,4,Y1,13,3,2683,24,17,23,1,61
p_3,397344.141,6787013.746,2,04,56,25,630,33,21,228,2,89
p_4,397264.141,6786933.746,4,Y1,12,3,3043,24,17,25,1,56
p_5,397344.141,6786933.746,1,02,36,24,2246,17,15,170,4,5
p_6,397184.141,6786853.746,3,Y1,15,3,4438,11,8,15,2,27
p_7,397264.141,6786853.746,4,Y1,13,9,8649,9,6,39,4,0
p_8,397344.141,6786853.746,4,Y1,13,9,8995,10,7,33,4,0
p_9,397424.141,6786853.746,3,02,59,19,1274,22,19,163,4,0
p_10,397184.141,6786773.746,5,Y1,15,13,5768,10,7,50,1,70
p_11,397264.141,6786773.746,4,Y1,12,9,8995,9,6,37,4,0
p_12,397344.141,6786773.746,4,04,91,20,2660,21,15,148,1,82
p_13,397424.141,6786773.746,4,04,159,11,2934,25,16,77,2,60
p_14,397504.141,6786773.746,4,02,26,22,3011,13,9,103,1,81
p_15,397184.141,6786693.746,4,04,93,14,206,28,20,152,1,89
p_16,397264.141,6786693.746,4,Y1,11,8,9341,10,6,39,4,0
p_17,397344.141,6786693.746,4,04,91,20,2660,21,15,148,1,82
p_18,397424.141,6786693.746,4,04,67,9,193,29,19,73,1,96
p_19,397504.141,6786693.746,2,02,34,21,899,19,16,153,2,25
p_20,397584.141,6786693.746,4,02,26,26,5388,10,9,124,1,74
p_21,397104.141,6786613.746,4,04,89,15,231,32,20,142,1,95
p_22,397184.141,6786613.746,4,Y1,11,10,8044,10,6,39,4,0
p_23,397264.141,6786613.746,4,04,73,24,542,27,20,210,1,117
p_24,397344.141,6786613.746,4,02,48,19,2439,19,15,141,1,69
p_25,397424.141,6786613.746,4,04,62,9,167,25,21,72,1,104
p_26,397504.141,6786613.746,4,02,58,22,729,20,17,201,1,104
p_27,397584.141,6786613.746,2,04,77,28,323,35,27,333,2,95
p_28,397664.141,6786613.746,2,04,112,18,511,24,20,162,2,47
p_29,397744.141,6786613.746,3,04,161,23,373,35,22,238,1,68
p_30,397824.141,6786613.746,4,04,182,17,2623,28,17,133,1,92
p_31,397904.141,6786613.746,4,04,186,22,3332,30,19,181,1,94
p_32,397104.141,6786533.746,4,04,91,16,220,30,20,145,1,96
p_33,397184.141,6786533.746,4,Y1,11,2,7301,30,18,16,1,125
p_34,397264.141,6786533.746,4,04,65,25,580,24,19,230,1,97
p_35,397344.141,6786533.746,4,04,72,27,591,27,20,212,1,117
p_36,397424.141,6786533.746,4,02,51,19,627,24,21,196,1,103
p_37,397504.141,6786533.746,4,02,61,22,667,19,17,188,1,93
p_38,397584.141,6786533.746,4,04,60,17,368,28,20,178,1,108
p_39,397744.141,6786533.746,3,04,171,19,622,33,25,201,1,73
p_40,397824.141,6786533.746,4,04,153,21,607,30,19,177,1,68
p_41,397104.141,6786453.746,4,Y1,13,2,6966,27,16,17,1,112
p_42,397184.141,6786453.746,4,Y1,12,2,6095,31,16,18,1,106
p_43,397264.141,6786453.746,4,02,35,29,3791,13,9,151,1,81
p_44,397344.141,6786453.746,3,04,78,19,1277,31,22,186,1,78
p_45,397424.141,6786453.746,4,02,60,21,654,20,18,201,1,85
p_46,397504.141,6786453.746,4,02,64,22,654,20,18,209,1,87
p_47,397584.141,6786453.746,4,04,52,20,390,26,22,180,1,109
p_48,397744.141,6786453.746,3,04,175,22,385,31,22,257,1,59
p_49,397104.141,6786373.746,3,Y1,19,5,5379,5,4,17,2,24
p_50,397184.141,6786373.746,4,Y1,11,2,7033,27,18,19,1,89
p_51,397264.141,6786373.746,4,04,67,17,1500,24,19,147,1,75
p_52,397344.141,6786373.746,4,02,52,20,677,22,18,184,1,100
p_53,397424.141,6786373.746,4,02,66,20,667,23,20,182,1,101
p_54,397504.141,6786373.746,4,02,39,16,715,18,12,97,1,100
p_55,397584.141,6786373.746,3,04,56,27,1256,25,22,246,1,102
p_56,397104.141,6786293.746,3,Y1,19,5,5610,5,4,17,2,24
p_57,397184.141,6786293.746,4,Y1,12,3,10206,32,20,33,1,88
p_58,397264.141,6786293.746,4,02,34,31,3443,13,10,167,1,75
p_59,397344.141,6786293.746,4,02,77,24,640,22,19,220,1,105
